4.60	274.4	-0.10	834.0	51	31.6
4.60	269.2	-0.01	834.0	51	27.2
4.70	266.8	0.36	834.0	51	17.0
4.60	272.8	1.04	834.0	50	9.8
4.60	274.9	1.53	834.0	50	6.7
5.20	274.6	1.73	834.0	50	2.2
5.30	275.1	2.05	833.9	48	2.5
4.80	275.3	1.84	832.9	49	4.8
4.20	275.3	2.14	832.9	48	8.4
4.00	275.2	2.62	832.9	48	10.8
4.60	275.2	2.86	832.9	47	14.6
4.60	275.1	3.19	832.9	45	17.6
4.70	276.3	3.63	832.9	41	15.3
4.60	275.5	3.92	832.9	39	13.0
4.80	266.7	3.94	832.9	39	10.6
4.60	270.6	4.12	832.9	39	8.8
4.50	270.4	4.44	832.9	38	6.4
4.20	265.3	4.65	832.9	38	6.9
4.50	267.7	4.67	832.9	38	8.3
4.40	260.9	4.91	832.9	38	9.9
4.90	258.2	5.11	832.9	37	11.3
5.40	270.9	5.12	832.9	36	11.8
5.70	272.0	4.99	833.4	36	12.0
6.00	264.8	4.83	834.0	35	13.3
6.20	259.5	4.23	834.0	35	14.3
5.80	262.3	4.11	833.7	35	15.0
5.60	266.8	3.72	832.9	34	17.7
5.60	268.4	3.10	832.9	35	23.4
5.80	264.6	2.98	832.9	35	25.1
5.80	263.3	2.54	832.9	33	28.1
5.50	268.0	2.06	832.9	30	31.5
5.80	275.5	1.88	832.9	30	30.5
5.70	271.8	1.66	832.9	30	31.5
5.80	243.0	1.33	832.9	30	32.5
5.50	258.2	1.30	832.9	31	32.7
5.90	263.3	1.14	832.9	32	37.2
5.50	261.3	1.09	832.9	32	41.3
5.60	250.2	1.67	833.3	31	37.4
5.60	254.1	1.51	834.0	31	35.8
5.10	250.7	1.57	834.0	31	37.7
5.20	235.3	1.79	834.0	30	38.5
5.10	229.9	2.01	834.0	29	43.1
5.10	229.5	2.19	834.0	26	43.3
5.30	221.6	2.11	834.0	26	42.2
5.20	216.7	2.17	834.0	25	39.5
5.10	219.4	2.25	834.0	25	37.3
4.80	216.4	2.34	834.0	25	32.9
4.90	206.7	2.46	834.0	24	29.0
4.40	204.9	2.59	834.0	24	26.2
2.70	212.7	2.72	834.0	24	24.3
2.90	213.6	2.61	834.0	24	22.2
2.80	207.5	2.56	834.0	24	21.7
2.90	209.4	2.50	834.0	23	18.3
3.30	219.4	2.44	833.0	24	16.5
3.40	270.6	2.73	832.9	24	15.8
3.40	270.4	2.80	832.9	24	12.7
3.90	265.3	2.79	832.9	23	11.4
3.50	267.7	2.62	832.9	24	10.8
3.80	260.9	2.45	832.9	24	9.4
4.00	258.2	2.52	832.9	24	8.6
